lat,lon,data_id,event_date,year,event_type,sub_event_type,actor1,actor2,region,country,admin1,lat,lon,fatalities
4.4825,-74.162,8612784,16-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,"Bogota, D.C.",4.4825,-74.162,0
5.516,-76.9744,8604828,15-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Choco,5.516,-76.9744,1
2.2568,-77.2495,8643694,15-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - Carlos Patino Front,South America,Colombia,Cauca,2.2568,-77.2495,0
7.065,-73.85,8598324,15-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,ELN,,South America,Colombia,Santander,7.065,-73.85,0
8.6395,-72.7359,8598495,15-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.6395,-72.7359,1
8.6395,-72.7359,8598323,14-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.6395,-72.7359,1
3.8758,-77.0117,8598493,14-Oct-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Valle del Cauca,3.8758,-77.0117,0
3.015,-76.6427,8604824,14-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.015,-76.6427,2
0.4793,-75.4262,8598320,13-Oct-21,2021,Battles,Armed clash,FARC Dissident - Carolina Ramirez Front,CDF,South America,Colombia,Putumayo,0.4793,-75.4262,1
7.9774,-75.1983,8598316,12-Oct-21,2021,Battles,Armed clash,Police Forces of Colombia (2018-),Unidentified Armed Group (Colombia),South America,Colombia,Antioquia,7.9774,-75.1983,1
7.027,-71.4268,8598317,12-Oct-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Arauca,7.027,-71.4268,1
3.2333,-76.4173,8598494,12-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.2333,-76.4173,1
2.0422,-77.1365,8598312,11-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.0422,-77.1365,1
2.5109,-76.2887,8598313,11-Oct-21,2021,Violence against civilians,Attack,FARC Dissident,Civilians (Colombia),South America,Colombia,Cauca,2.5109,-76.2887,1
2.1782,-73.7871,8598314,11-Oct-21,2021,Violence against civilians,Attack,FARC Dissident - Gentil Duarte Front,Civilians (Colombia),South America,Colombia,Meta,2.1782,-73.7871,0
